JUDGMENT_MISS4707.916015625,-207.916015625,NOTE_1
JUDGMENT_MISS7325.30810546875,-200.30810546875,NOTE_3
JUDGMENT_MISS7325.30810546875,-200.30810546875,NOTE_5
JUDGMENT_MISS7525.404052734375,-212.904052734375,NOTE_3
JUDGMENT_MISS7525.404052734375,-212.904052734375,NOTE_5
JUDGMENT_MISS7708.825927734375,-208.825927734375,NOTE_7
JUDGMENT_COOL10127.160888671875,-2.160888671875,NOTE_3,
JUDGMENT_COOL10127.160888671875,-2.160888671875,NOTE_5,
JUDGMENT_COOL10277.267822265625,35.232177734375,NOTE_3,
JUDGMENT_COOL10294.08203125,18.41796875,NOTE_5,
JUDGMENT_MISS10710.466064453125,-210.466064453125,NOTE_2
JUDGMENT_COOL10727.180908203125,-39.680908203125,NOTE_1,
JUDGMENT_BAD10910.5478515625,151.9521484375,NOTE_1,
JUDGMENT_BAD11010.916015625,-135.916015625,NOTE_2,
JUDGMENT_COOL11210.68408203125,39.31591796875,NOTE_3,
JUDGMENT_GOOD11328.51904296875,108.98095703125,NOTE_2,
JUDGMENT_GOOD11895.051025390625,-82.551025390625,NOTE_3,
JUDGMENT_BAD12129.31591796875,-129.31591796875,NOTE_5,
JUDGMENT_BAD12427.717041015625,134.782958984375,NOTE_5,
JUDGMENT_MISS12581.080078125,-206.080078125,NOTE_6
JUDGMENT_COOL12910.94287109375,26.55712890625,NOTE_6,
JUDGMENT_MISS12961.96484375,-211.96484375,NOTE_7
JUDGMENT_GOOD13061.305908203125,63.694091796875,NOTE_5,
JUDGMENT_GOOD13194.779052734375,-69.779052734375,NOTE_3,
JUDGMENT_COOL13262.7509765625,49.7490234375,NOTE_5,
JUDGMENT_COOL13312.02099609375,0.47900390625,NOTE_3,
JUDGMENT_MISS13711.98095703125,-211.98095703125,NOTE_3,
JUDGMENT_MISS13895.416015625,-207.916015625,NOTE_1
JUDGMENT_MISS14081.58203125,-206.58203125,NOTE_3
JUDGMENT_MISS14263.328857421875,-200.828857421875,NOTE_5
JUDGMENT_BAD14311.98291015625,125.51708984375,NOTE_5,
JUDGMENT_MISS14462.157958984375,-212.157958984375,NOTE_7
JUDGMENT_COOL14665.597900390625,-40.597900390625,NOTE_5,
JUDGMENT_GOOD14746.278076171875,-121.278076171875,NOTE_3,
JUDGMENT_COOL14796.739013671875,15.760986328125,NOTE_5,
JUDGMENT_GOOD14862.891845703125,-50.391845703125,NOTE_3,
JUDGMENT_COOL15196.287841796875,-8.787841796875,NOTE_1,
JUDGMENT_MISS15213.198974609375,-213.198974609375,NOTE_2
JUDGMENT_COOL15346.558837890625,28.441162109375,NOTE_2,
JUDGMENT_BAD15931.325927734375,-181.325927734375,NOTE_6,
JUDGMENT_BAD16079.8359375,-142.3359375,NOTE_7,
JUDGMENT_GOOD16214.406982421875,-89.406982421875,NOTE_5,
JUDGMENT_BAD16279.97607421875,-154.97607421875,NOTE_3,
JUDGMENT_GOOD16397.470947265625,-84.970947265625,NOTE_5,
JUDGMENT_GOOD16430.04296875,-117.54296875,NOTE_3,
JUDGMENT_COOL16547.046142578125,-47.046142578125,NOTE_3,
JUDGMENT_BAD16830.451904296875,-142.951904296875,NOTE_1,
JUDGMENT_GOOD16946.85693359375,115.64306640625,NOTE_2,
JUDGMENT_MISS17084.286865234375,-209.286865234375,NOTE_1
JUDGMENT_COOL17214.635009765625,35.364990234375,NOTE_3,
JUDGMENT_GOOD17731.699951171875,-106.699951171875,NOTE_5,
JUDGMENT_GOOD17864.070068359375,-51.570068359375,NOTE_3,
JUDGMENT_BAD18164.0400390625,-164.0400390625,NOTE_5,
JUDGMENT_BAD18547.68701171875,-172.68701171875,NOTE_7,
JUDGMENT_GOOD18664.978759765625,-102.478759765625,NOTE_6,
JUDGMENT_COOL18781.39111328125,-31.39111328125,NOTE_5,
JUDGMENT_GOOD19232.216064453125,-107.216064453125,NOTE_3,
JUDGMENT_GOOD19365.725830078125,-53.225830078125,NOTE_2,
JUDGMENT_GOOD19565.39306640625,-65.39306640625,NOTE_1,
JUDGMENT_MISS19898.39794921875,-210.89794921875,NOTE_1
JUDGMENT_GOOD19931.6650390625,-56.6650390625,NOTE_1,
JUDGMENT_MISS20265.405029296875,-202.905029296875,NOTE_2
JUDGMENT_COOL20299.416015625,-49.416015625,NOTE_3,
JUDGMENT_GOOD20732.7431640625,-107.7431640625,NOTE_5,
JUDGMENT_GOOD20883.27392578125,-70.77392578125,NOTE_3,
JUDGMENT_GOOD21082.8818359375,-82.8818359375,NOTE_5,
JUDGMENT_BAD21516.29296875,-141.29296875,NOTE_7,
JUDGMENT_COOL21585.14794921875,-22.64794921875,NOTE_6,
JUDGMENT_COOL21766.59912109375,-16.59912109375,NOTE_5,
JUDGMENT_GOOD22198.984130859375,-73.984130859375,NOTE_3,
JUDGMENT_GOOD22367.0,-54.5,NOTE_2,
JUDGMENT_GOOD22550.830078125,-50.830078125,NOTE_1,
JUDGMENT_GOOD22769.8779296875,-82.3779296875,NOTE_7,
JUDGMENT_GOOD22949.9580078125,-74.9580078125,NOTE_1,
JUDGMENT_GOOD23133.320068359375,-70.820068359375,NOTE_7,
